Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),F_{Drag} (lbs),F_{Side} (lbs),F_{Lift} (lbs),L/D,F_{Aero x} (lbs),F_{Aero y} (lbs),F_{Aero z} (lbs),F_{Prop x} (lbs),F_{Prop y} (lbs),F_{Prop z} (lbs),F_{Gear x} (lbs),F_{Gear y} (lbs),F_{Gear z} (lbs),F_{Ext x} (lbs),F_{Ext y} (lbs),F_{Ext z} (lbs),F_{Buoyant x} (lbs),F_{Buoyant y} (lbs),F_{Buoyant z} (lbs),F_{Weight x} (lbs),F_{Weight y} (lbs),F_{Weight z} (lbs),F_{Total x} (lbs),F_{Total y} (lbs),F_{Total z} (lbs),L_{Aero} (ft-lbs),M_{Aero} (ft-lbs),N_{Aero} (ft-lbs),L_{Aero MRC} (ft-lbs),M_{Aero MRC} (ft-lbs),N_{Aero MRC} (ft-lbs),L_{Prop} (ft-lbs),M_{Prop} (ft-lbs),N_{Prop} (ft-lbs),L_{Gear} (ft-lbs),M_{Gear} (ft-lbs),N_{Gear} (ft-lbs),L_{ext} (ft-lbs),M_{ext} (ft-lbs),N_{ext} (ft-lbs),L_{Buoyant} (ft-lbs),M_{Buoyant} (ft-lbs),N_{Buoyant} (ft-lbs),L_{Total} (ft-lbs),M_{Total} (ft-lbs),N_{Total} (ft-lbs),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft
0,0,0,0,0,-6.765032323401915e-23,0,0.004178074132240403,0,9.277188200408133e-19,0,0,0,1526.40067978,0,0,0,-7.120368044775654e-15,0,32.06728687319242,-32.17859376612291,0,0,0,0,0,0,0,0,0,1526.400679782038,0,0,0,0,0,0,0,-0,0,-0,0,0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,-4.443740159289096e-12,-0,20012.82652550568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,6561.6797900274,6561.6797900265,0,1.272221872585407e-14,0,1,0,1.110223024625157e-16,0,0.7071067811865476,0,-0.7071067811865475,0,0.7071067811865476,0,-0.7071067811865475,0,0,0,0,0,0,20932208.00525003,0,0,20932208.00525003,0,0,0,6561.6797900265,-1.6344444641837e-09,0,0,20932208.0052500293
1.000000052,-4.628576744450129e-14,-6.765032670379397e-23,3.463954403290766e-19,-6.863806850485292e-43,-4.23907691913508e-23,5.464884098192904e-38,0.004178074132240403,-6.765032670379397e-23,9.277188175947979e-19,1.004666242,173807.497,32.0673050013,1526.73865375,-4.438726627809476e-15,0.002338451874768482,32.06730491602212,-4.438730869512358e-15,0.004676768309569892,32.06733599342613,-32.17864305623375,-0.002346504981994017,0,0,0,0,-4.438726627809476e-15,0.002338451874768482,32.06730491602212,-32.17861187115391,1526.399506612162,0,-32.06730491637737,0.002338451874794459,2.301181994518577e-17,2.301181994518577e-17,0.002338453069003206,32.06730491637729,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.770161146381182e-12,-7.452927720368983e-07,20012.85723392556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,6545.646327056,6545.6463270573,-2.133734821652236e-09,7.951386707271619e-15,360,1.000000000004154,-1.862034900122011e-11,6.93889390703119e-17,-8.293550220519444e-22,0.7071067811885059,-7.900322526371066e-19,-0.7071067811924227,-7.845871245600896e-19,0.7071067807204597,2.578152116750153e-05,-0.7071067807204596,2.578152116750153e-05,90,0.0041781940556609,0,0,2.1337346936221e-09,20932191.91613359,1526.400368388037,0,20932191.97178706,0.0007795293929732207,0,0.0041780743501439,6545.6463270573,-1.6344444641837e-09,0,2.13373469362212489e-09,20932191.9717870578
2.000000104,-9.257075838639482e-14,-1.91924116188112e-22,2.405774500018671e-19,-2.539477215663672e-42,-5.010713819785388e-23,4.129048049169965e-27,0.004178074132240403,-1.353006530508554e-22,9.277188102156428e-19,4.024599821,348033.1196,64.1347087561,1527.75213094,-7.253128700485521e-15,0.009353607391187105,64.13470807397049,-3.626578764025456e-15,0.009353543782318119,32.06748335600316,-32.17879092911765,-0.004693038744636588,0,0,0,0,-7.253128700485521e-15,0.009353607391187105,64.13470807397049,-64.35732232396576,1526.395986843713,0,-64.13470807539147,0.009353607391394667,3.294700197943416e-15,3.294700197943416e-15,0.009353626497560335,64.13470807538869,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.263306424795823e-12,-5.961993807818957e-06,20012.94936033021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,6497.5453303307,6497.5453303298,-1.706880263003735e-08,7.951386725826392e-15,360,1.000000000008309,-1.489534026348473e-10,6.938893923194518e-17,-4.123411541996223e-21,0.7071067811904643,-1.776842822203154e-18,-0.7071067811982976,-1.772435524225359e-18,0.7071067793143627,5.156304230101539e-05,-0.7071067793143626,5.156304230101539e-05,90,0.0083561964969039,0,0,1.7068802342708e-08,20932143.6481763,3052.798390268284,0,20932143.87079033,0.006235828002969531,0,0.0083561487002879,6497.5453303298,-1.6344444641837e-09,0,1.70688023427079872e-08,20932143.8707903326
3.000000156,-1.38853419820465e-13,-3.161979049559675e-22,1.905226729826267e-19,-4.444934330360695e-42,-5.375718920251439e-23,8.258096098394569e-27,0.004178074132240403,-2.029509786814542e-22,9.277187979033481e-19,9.077639042,523096.2245,96.2023100187,1529.439781,-2.040778617894162e-14,0.02104554519179052,96.20230771671291,-6.802657313944604e-15,0.01403033358116628,32.06772896283891,-32.17903738669382,-0.007039630069525616,0,0,0,0,-2.040778617894162e-14,0.02104554519179052,96.20230771671291,-96.53622994174093,1526.390120514998,0,-96.20230771991008,0.0210455451924908,-3.433465333257663e-15,-3.433465333257663e-15,0.02104564191693681,96.20230771988892,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.245460700942653e-12,-2.012172425496433e-05,20013.10290591812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,6417.3768387362,6417.3768387348,-5.760675302334183e-08,1.1131941409572e-14,360,1.000000000012463,-5.027137558265215e-10,9.714451486686011e-17,-1.160184846072902e-20,0.7071067811924225,-3.112131378321928e-18,-0.7071067812041724,-3.121143380490303e-18,0.7071067769682564,7.734456336626831e-05,-0.7071067769682563,7.734456336626831e-05,90,0.012534220087073,0,0,5.7606752518821e-08,20932063.20141652,4579.191719104497,0,20932063.70229874,0.02104567253738461,0,0.012534223050432,6417.3768387348,-1.6344444641837e-09,0,5.7606752518821062e-08,20932063.7022987381
4.000000209,-1.851376342597507e-13,-3.838482295103732e-22,2.698828343472479e-19,-4.940548276842547e-42,-4.797015371331428e-23,8.258096098777112e-27,0.004178074132240403,-2.706013032358598e-22,9.277187806579135e-19,16.19362707,699418.6343,128.270207547,1531.79939629,-1.540604632292155e-14,0.03741428318280809,128.2702020904575,-3.851573505221371e-15,0.01870714486883981,32.06807281809994,-32.17938243311697,-0.009386307740156551,0,0,0,0,-1.540604632292155e-14,0.03741428318280809,128.2702020904575,-128.7154333111155,1526.381907554063,0,-128.2702020961413,0.03741428318446732,4.790041955815945e-15,4.790041955815945e-15,0.03741458888308211,128.2702020960522,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.403723478015796e-12,-4.76965302784194e-05,20013.31787328142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,6305.1406066455,6305.1406066463,-1.365495666287458e-07,7.951386783779899e-15,360,1.000000000016617,-1.191619764941295e-09,6.938893973711825e-17,-8.758353908104742e-21,0.7071067811943809,-3.689235420018477e-18,-0.7071067812100472,-3.697282611110316e-18,0.707106773682141,0.000103126084328987,-0.7071067736821409,0.000103126084328987,90,0.016712224851538,0,0,1.365495660286e-07,20931950.57560778,6105.578008302715,0,20931951.46606665,0.04988585395143417,0,0.016712297400576,6305.1406066463,-1.6344444641837e-09,0,1.36549566028603855e-07,20931951.4660666473
5.000000261,-2.314210721964287e-13,-4.514985526288558e-22,1.17984946348568e-19,-6.614013805777804e-42,-5.904672077071266e-23,8.258096099268947e-27,0.004178074132240403,-3.382516263543424e-22,9.277187584793391e-19,25.4145815,877425.8784,160.338500104,1534.8279065,-2.232896265283676e-14,0.05845984643658701,160.3384894464123,-4.465904820624246e-15,0.02338398480776796,32.06851492761961,-32.17982607420394,-0.01173310054287168,0,0,0,0,-2.232896265283676e-14,0.05845984643658701,160.3384894464123,-160.8950310237114,1526.371347860168,0,-160.3384894552934,0.05845984643982686,8.745522575682625e-15,8.745522575682625e-15,0.05846059278196172,160.3384894550212,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.787121001101919e-12,-9.315909584265808e-05,20013.59426604918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,6160.836290177,6160.8362901771,-2.666998713046748e-07,9.541664062321531e-15,360,1.000000000020771,-2.327395434504202e-09,8.326672700166409e-17,-1.269403892314363e-20,0.7071067811963392,-3.905808790904622e-18,-0.7071067812159222,-3.944850836776207e-18,0.7071067694560166,0.0001289076051548982,-0.7071067694560165,0.0001289076051548982,90,0.020890195080057,0,0,2.6669987066373e-07,20931805.77040501,7631.954911182624,0,20931807.16175018,0.09743318461217995,0,0.02089037175072,6160.8362901771,-1.6344444641837e-09,0,2.66699870663729913e-07,20931807.1617501788
6.000000313,-2.777052866357144e-13,-5.191488739516847e-22,3.314093825246005e-19,-6.058114992726642e-42,-4.348356346888799e-23,8.258096099870081e-27,0.004178074132240403,-4.059019476771714e-22,9.277187313676252e-19,36.79493293,1057548.444,192.407286458,1538.5213986,-3.662345917920737e-14,0.0841822671845945,192.4072680424525,-6.104132279702673e-15,0.0280608605599851,32.06905529889818,-32.18036831743373,-0.01408003726780917,0,0,0,0,-3.662345917920737e-14,0.0841822671845945,192.4072680424525,-193.0751216777988,1526.358441303788,0,-192.4072680552413,0.08418226719019214,-9.162418850382748e-15,-9.162418850382748e-15,0.0841838148266313,192.4072680545642,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.809519971273376e-12,-0.0001609829553248084,20013.93208888751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,5984.4634472616,5984.4634472614,-4.608611577604768e-07,9.541663862181457e-15,360,1.000000000024925,-4.021772298836912e-09,8.326672525482074e-17,-2.082047445243734e-20,0.7071067811982974,-4.235893249535609e-18,-0.7071067812217972,-4.2632414673827e-18,0.7071067642898829,0.0001546891258097285,-0.7071067642898828,0.0001546891258097285,90,0.025068119103952,0,0,4.6086115706433e-07,20931628.78536459,9158.320080948764,0,20931630.78890726,0.1683645054941015,0,0.025068446100864,5984.4634472614,-1.6344444641837e-09,0,4.60861157064330909e-07,20931630.7889072634
7.000000365,-3.239910540802157e-13,-7.000461193936441e-22,1.446922919131026e-19,-1.013908035559215e-41,-5.70991861034356e-23,1.651619219848325e-26,0.004178074132240403,-4.735522668446173e-22,9.277186993227717e-19,50.40183374,1240223.039,224.476665388,1542.87514203,-4.515680781723915e-14,0.1145815848175154,224.4766361447869,-6.451293204275825e-15,0.03273777928703164,32.06969394110346,-32.18100917194809,-0.01642714670985279,0,0,0,0,-4.515680781723915e-14,0.1145815848175154,224.4766361447869,-225.2558038799577,1526.3431877266,0,-224.4766361621941,0.1145815848264035,-3.086908068715395e-15,-3.086908068715395e-15,0.1145844520625715,224.4766361607305,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.026179377080112e-12,-0.0002556427063180556,20014.33134749989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,5776.02153752,5776.0215375212,-7.318379955462456e-07,1.113194142702544e-14,360,1.00000000002908,-6.386491306924509e-09,9.714451501771402e-17,-2.56716917874062e-20,0.7071067812002558,-4.427299816754285e-18,-0.7071067812276722,-4.480579212454633e-18,0.7071067581837404,0.000180470646259205,-0.7071067581837402,0.000180470646259205,90,0.029245986408851,0,0,7.3183799481164e-07,20931419.6199443,10684.67117066178,0,20931422.34699752,0.2673566934451859,0,0.029246520451007,5776.0215375212,-2.5147074308107e-09,0,7.31837994811635013e-07,20931422.3469975218
8.000000417,-3.70276821524717e-13,-5.412025834969492e-22,4.454129150395201e-19,-4.555747712925928e-42,-3.517028973911348e-23,3.497551515159568e-36,0.004178074132240403,-5.412025834969492e-22,9.277186623447793e-19,66.3155386,1425893.875,256.546735681,1547.88361871,-4.159095148968719e-14,0.1496578458938098,256.5466920296261,-5.199206162031767e-15,0.03741474814985518,32.07043086507088,-32.1817486485518,-0.01877445766958151,0,0,0,0,-4.159095148968719e-14,0.1496578458938098,256.5466920296261,-257.4371762467417,1526.325586941492,0,-256.5466920523622,0.1496578459070764,-1.197588481390967e-14,-1.197588481390967e-14,0.1496627373826461,256.5466920495087,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.244767180812789e-12,-0.0003816142224322079,20014.79204862736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,5535.5099223144,5535.5099223153,-1.09243624889742e-06,7.951387725339058e-15,3.964744489189833e-19,1.000000000033234,-9.533304706014958e-09,6.938894795257549e-17,3.460553772932191e-21,0.7071067812022143,-4.603752518730711e-18,-0.7071067812335473,-4.588227156940718e-18,0.7071067511375887,0.0002062521664690541,-0.7071067511375886,0.0002062521664690541,90,0.033423786914669,0,0,1.0924362481265e-06,20931178.27350327,12211.00583320961,0,20931181.83538231,0.3990866682925084,0,0.033424594801151,5535.5099223153,-1.6344444641837e-09,0,1.09243624812647991e-06,20931181.8353823163
9.000000469,-4.165625889692183e-13,-6.088528972744366e-22,2.952475318329098e-19,-6.72094625484501e-42,-4.612051911577281e-23,4.426590804163001e-36,0.004178074132240403,-6.088528972744366e-22,9.277186204336477e-19,84.62985852,1615013.966,288.617596137,1553.54055738,-3.641694226042327e-14,0.1894111041273999,288.6175339848499,-4.04665723810587e-15,0.04209177430871151,32.0712660833041,-32.18258675971302,-0.02112199895421958,0,0,0,0,-3.641694226042327e-14,0.1894111041273999,288.6175339848499,-289.6193374063403,1526.305638732541,0,-288.6175340136256,0.1894111041462886,7.273581199868747e-15,7.273581199868747e-15,0.1894189395223546,288.6175340084835,-0,0,-0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.525475942447358e-12,-0.0005433748661641925,20015.31420004873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,          20,           0,           0,           0,          10,           0,           0,           0,          10,621.9298044,20010,0,0,0,5262.9278647304,5262.9278647312,-1.555463292471659e-06,7.951387963674952e-15,7.335052807509392e-19,1.000000000037388,-1.357397792427849e-08,6.938895003210639e-17,6.401982999249851e-21,0.7071067812041726,-4.88896893931563e-18,-0.7071067812394224,-4.892648982990839e-18,0.707106743151428,0.0002320336864050025,-0.7071067431514279,0.0002320336864050026,90,0.037601510731381,0,0,1.5554632916389e-06,20930904.74530203,13737.32172127861,0,20930909.25332472,0.5682313999539549,0,0.037602669151295,5262.9278647312,-1.6344444641837e-09,0,1.55546329163891431e-06,20930909.2533247322
