Time,P (deg/s),Q (deg/s),R (deg/s),P dot (deg/s^2),Q dot (deg/s^2),R dot (deg/s^2),P_{inertial} (deg/s),Q_{inertial} (deg/s),R_{inertial} (deg/s),q bar (psf),Reynolds Number,V_{Total} (ft/s),V_{Inertial} (ft/s),UBody,VBody,WBody,UdotBody,VdotBody,WdotBody,UdotBody_i,VdotBody_i,WdotBody_i,BodyAccel_X,BodyAccel_Y,BodyAccel_Z,Aero V_{X Body} (ft/s),Aero V_{Y Body} (ft/s),Aero V_{Z Body} (ft/s),V_{X_{inertial}} (ft/s),V_{Y_{inertial}} (ft/s),V_{Z_{inertial}} (ft/s),V_{X_{ecef}} (ft/s),V_{Y_{ecef}} (ft/s),V_{Z_{ecef}} (ft/s),V_{North} (ft/s),V_{East} (ft/s),V_{Down} (ft/s),I_{xx},I_{xy},I_{xz},I_{yx},I_{yy},I_{yz},I_{zx},I_{zy},I_{zz},Mass,Weight,X_{cg},Y_{cg},Z_{cg},Altitude ASL (ft),Altitude AGL (ft),Phi (deg),Theta (deg),Psi (deg),Q(1)_{LOCAL},Q(2)_{LOCAL},Q(3)_{LOCAL},Q(4)_{LOCAL},Q(1)_{ECEF},Q(2)_{ECEF},Q(3)_{ECEF},Q(4)_{ECEF},Q(1)_{ECI},Q(2)_{ECI},Q(3)_{ECI},Q(4)_{ECI},Alpha (deg),Beta (deg),Latitude (deg),Latitude Geodetic (deg),Longitude (deg),X_{ECI} (ft),Y_{ECI} (ft),Z_{ECI} (ft),X_{ECEF} (ft),Y_{ECEF} (ft),Z_{ECEF} (ft),Earth Position Angle (deg),Distance AGL (ft),Terrain Elevation (ft),navigation/actual-heading-rad,propulsion/tank[0]/contents-volume-gal,propulsion/tank[1]/contents-volume-gal,systems/mixture-cmd-norm,guidance/wp-heading-rad,guidance/wp-distance,guidance/wp-heading-deg,guidance/selected_target_heading,guidance/angle-to-heading-rad,ap/roll-control-autopilot-on,ap/roll-autopilot-windup-trigger,ap/limited-roll-angle-rad,ap/roll-attitude-selector,ap/limited-roll-angle-error,ap/roll-rate-pid-control,ap/total-limited-roll-rate,ap/roll-rate-saturation,ap/limited-roll-rate-error,ap/roll-command-pid-control,ap/roll-cmd-smoother,ap/roll-cmd-norm-output,ap/roll-command-selector-steering,fcs/attitude/sensor/phi-rad,fcs/wing-leveler-ap-on-off,fcs/roll-ap-error-pid,fcs/roll-ap-autoswitch,fcs/heading-true-degrees,fcs/heading-error,fcs/heading-error-bias-switch,fcs/heading-corrected,fcs/heading-command,fcs/heading-roll-error-lag,fcs/heading-roll-error,fcs/heading-roll-error-switch,fcs/heading-pi-controller,fcs/roll-command-selector,fcs/altitude-error,fcs/alt-error-lag,fcs/hdot-command,fcs/hdot-error,fcs/ap-alt-hold-switch,fcs/windup-trigger,fcs/altitude-hold-pid,fcs/elevator,fcs/pitch-trim-sum,fcs/elevator-control,fcs/elevator-actuator,fcs/roll-trim-sum,fcs/left-aileron-control,fcs/left-aileron-actuator,fcs/right-aileron-control,fcs/right-aileron-actuator,fcs/delta-aileron-pos,fcs/effective-aileron-pos,fcs/yaw-trim-sum,fcs/rudder-control,fcs/flaps-control,fcs/flap-position-normalizer,IO320 Power Available (engine 0 in ft-lbs/sec),IO320 HP (engine 0),IO320 equivalent ratio (engine 0),IO320 MAP (engine 0 in inHg),Fixed-Pitch 75-inch Two-Blade Propeller Torque (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Pitch (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller PFactor Yaw (engine 0),Fixed-Pitch 75-inch Two-Blade Propeller Thrust (engine 0 in lbs),Fixed-Pitch 75-inch Two-Blade Propeller RPM (engine 0),Fuel Tank 0,Fuel Tank 1,/fdm/jsbsim/position/vrp-gc-latitude_deg,/fdm/jsbsim/position/vrp-longitude_deg,/fdm/jsbsim/position/vrp-radius-ft,velocities/pi-deg_sec
0,0,0,0,896.497525658034,-21236.90162810657,-0.001147775169497139,0.004178074132240403,0,9.277188200408133e-19,0,0,0,1525.92219455,0,0,0,-0.001996052455814907,-0.0002808375417360419,-1297.997857843899,1297.886585842662,-0.0002808375417360419,-0.00199605245610312,-0.001996052455807782,-0.0002808375417360419,-1330.085396056737,0,0,0,0,1525.922194545818,0,0,0,0,0,0,0, 2095.734879,-10.78165492, 13.55483334,-10.78165492, 1505.011878, 3.979907608, 13.55483334, 3.979907608, 3150.439301,77.08075536,2480,45.48951612903226,4.22741935483871,35.42701612903226,0,-1.6344444641837e-09,0,1.272221872585407e-14,0,1,0,1.110223024625157e-16,0,0.7071067811865476,0,-0.7071067811865475,0,0.7071067811865476,0,-0.7071067811865475,0,0,0,0,0,0,20925646.32546,0,0,20925646.32546,0,0,0,-1.6344444641837e-09,-1.6344444641837e-09,0.003,19.6969697,19.6969697,0.999635333,3.14159265,0,180.013259,3.14159265,3.13859265,0,1,0.523,0,0,0,0.348,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,1.63444446e-09,6.78192724e-12,8.13831268e-13,8.13831268e-13,0,0,0,-0,0,0,0.002,0,0,0,0,0,0,0,0,0,0,0,6.70221,0.0121858,1.29953,29.9213,670.221,-0,-0,0,0,130,130,6.59306903546138079e-07,-9.64579064579641711e-07,20925646.5815419964,0.00417807413224040303
0.1000000052,13.27185744769376,-220.4046421528877,-0.5551165620574122,-7.64030007793288,146.733385278325,-2.77326002999565,13.27582363280964,-220.4046549711107,-0.5564301505676587,0.9377585689,875399.8485,28.0910361283,1526.61201551,-6.912911747432593,-0.2423951556062279,-27.22607585612656,-72.88122818999273,-5.621355008917051,51.6529800946862,-33.87116730068939,0.02047583012332784,22.3704234534456,21.76158468556734,-0.008077052581538994,-5.446691458252189,-6.912911747432593,-0.2423951556062279,-27.22607585612656,28.00541837251145,1526.353808656737,1.998308204821123,28.01655041102069,0.4312518383626803,1.998308204821119,1.998308085372555,0.4312518073121159,-28.01655042001843, 2095.734836,-10.78165489, 13.55483354,-10.78165489, 1505.011875, 3.979907938, 13.55483354, 3.979907938,  3150.43926,77.08075491,2479.999985,45.48951611428796,4.22741937966672,35.42701598823679,2.1669053845108,2.1669053841248,1.437912758808728,-18.32351664097979,359.7236925323782,0.9871669817402703,0.01200382284009988,-0.1592391665701102,-0.0003823991172307066,-0.5854333707071651,-0.008758381971001223,0.8106315627073652,-0.008217587864569722,0.5854333407414745,0.008761337580386094,-0.8106315307684111,0.008219722388358436,-104.24677624633,-0.49440653173311,2.4264525365896e-07,2.4428056038957e-07,6.3500548470037e-08,20925648.49180886,152.6154349761539,0.08861925484841296,20925648.49236539,0.02319176329650957,0.08861925484841296,0.0004178074350144,2.1669053841248,1.6362065135467e-09,6.28136283,19.6969686,19.6969686,0.999557058,-2.8856318,0.0916036491,-165.346702,-2.8856318,-2.88380933,0,1,-0.523,0,-0.025096312,-0.174,0.348,0,-0.420075929,-1.05018982,-1.11615046,0,0,0,-1,5.99249589,0,359.75019,-359.75019,360,0.249809719,0.0043591796,4.56415878e-05,-0.0250506704,0,0,0,-2.16690539,-0.0863341193,-0.0103582235,-28.0269086,0,0,0,-0,0.0299999993,0.0120404997,0.002,0,0,0,0,0,0,0,0,0,0.5,0.0166666667,238.103,0.432914,1.3001,29.9211,61.8648,-0.151933,-0.202593,0.0993367,39.6966,130,130,1.09192285640428479e-06,-8.87286432702914183e-07,20925648.66807748,13.2758236328096366
0.2000000104,12.73761433125815,-206.3485676137591,-0.8840128299121237,-3.192116051356627,134.5977680316635,-4.061585475646234,12.74082863475035,-206.3486217920394,-0.8866814664981798,0.7338378053,774373.3536,24.850718775,1526.56105985,-12.50551781727008,-0.6982830703507001,-21.46351901500998,-39.64133951051707,-3.550274898519993,59.92835982622141,-35.53608549933036,0.1081895165122629,19.53363181684224,17.15694228319403,0.002501394453731859,-9.917229089062955,-12.50551781727008,-0.6982830703507001,-21.46351901500998,24.48443579016937,1526.359195076483,4.097494144702705,24.50670138971219,0.4362938937210867,4.097494144702709,4.097493678210474,0.4362938161914552,-24.50670146908945,   2095.7347,-10.78165478, 13.55483415,-10.78165478, 1505.011866, 3.979908973, 13.55483415, 3.979908973,  3150.43913,77.08075346,2479.999939,45.48951606692584,4.227419459420092,35.42701553596884,4.7913116365671,4.7913116364662,3.285957970499904,-39.68721113119447,358.6439524647746,0.9402853336239774,0.02295187430460272,-0.3396097153690497,-0.001394297136227308,-0.4247417943236853,-0.01721534420822766,0.9050224723653688,-0.01524350983741866,0.4247416831549599,0.01722194373606015,-0.9050223468050304,0.0152466071031844,-120.22681489006,-1.6101723231727,1.0833407542092e-06,1.0906419240301e-06,1.812614692748e-07,20925651.11454523,305.2507252800745,0.3956593462173755,20925651.11677163,0.06620058753353397,0.3956593462173755,0.00083561487002879,4.7913116364662,8.27486657999e-10,6.26251781,19.696965,19.696965,0.999462263,-2.97581116,0.401159275,-170.513979,-2.97581116,-2.95514366,0,1,-0.523,0,-0.0573507857,-0.174,0.348,0,-0.396814234,-0.992035584,-0.993754996,0,0,0,-1,9.61602562,0,358.670371,-358.670371,360,1.32962932,0.0232020317,0.000649403058,-0.0567013826,0,0,0,-4.79131164,-0.413960317,-0.0496554039,-24.5563569,0,0,0,-0,0.0299999993,0.0120404997,0.002,0,0,0,0,0,0,0,0,0,1,0.0333333333,447.996,0.814539,1.30023,29.9189,59.8445,-0.24788,0.876395,0.375781,74.3216,130,130,2.05092451938878837e-06,-7.64704053826733852e-07,20925651.1752832606,12.7408286347503541
0.3000000156,12.50974950293137,-193.337937384105,-1.371048450264338,-1.675667436340213,124.4997825397377,-5.826746692044472,12.51185585827851,-193.3380564222392,-1.374654750380615,0.5602320819,676589.3925,21.7138750243,1526.52826087,-15.08379264557442,-0.9645873196174617,-15.58977675584934,-12.88392584929392,-1.846633051184362,55.67876877645497,-36.77256793991769,0.1889814012249572,16.01504433892157,12.01317352892333,0.006064077963825699,-11.53779676775604,-15.08379264557442,-0.9645873196174617,-15.58977675584934,20.8644930100862,1526.374343758489,5.879361717979507,20.89789255676503,0.4511773976324443,5.879361717979513,5.879360815686004,0.4511772872735285,-20.89789281299664, 2095.734476, -10.7816546, 13.55483516, -10.7816546,  1505.01185,  3.97991067, 13.55483516,  3.97991067, 3150.438915,77.08075106,2479.999862,45.48951598893446,4.227419590750255,35.42701479121757,7.0625727586448,7.0625727571125,6.780445730529493,-59.63434130491227,355.7783027853832,0.866593442707728,0.03299004817028219,-0.4979167895703646,-0.002516434309028774,-0.2606937406122756,-0.02510687661965087,0.9648544438038721,-0.02154810023890754,0.2606935048998307,0.02511743036304286,-0.964854169122791,0.02155095175087164,-134.05494777906,-2.5460667637215,2.4572586016034e-06,2.4738192823627e-06,3.0257118470213e-07,20925653.38302308,457.8873422223916,0.8974437946197111,20925653.38803274,0.110505516987296,0.8974437946197111,0.0012534223050432,7.0625727571125,8.27486657999e-10,6.21250279,19.6969592,19.6969592,0.99938023,-3.01907573,0.904221366,-172.993039,-3.01907573,-2.94839321,0,1,-0.523,0,-0.118341103,-0.174,0.348,0,-0.392584429,-0.981461073,-0.982248154,0,0,0,-1,21.1808025,0,355.80451,-355.80451,360,4.19549009,0.0732113021,0.00276710703,-0.115573996,0,0,0,-7.06257276,-0.943223564,-0.113120212,-21.011013,0,0,0,-0,0.0299999993,0.0120404997,0.002,0,0,0,0,0,0,0,0,0,1.5,0.05,636.042,1.15644,1.30033,29.9146,57.8986,-0.301791,1.80598,0.809174,107.628,130,130,3.42234017563121655e-06,-6.4609699000446951e-07,20925653.3298466094,12.5118558582785067
0.4000000209,12.32642796396948,-181.4703290484012,-2.025017890721546,-2.319687518080184,110.958671277032,-7.281374524298934,12.3272623175665,-181.4705282053218,-2.029106960793169,0.4146464016,582066.3086,18.6811841943,1526.50906452,-15.38770837125691,-1.080784133447827,-10.53740858275097,5.609540541249295,-0.5618734463725303,44.32205469849065,-37.44907944320061,0.2199605703117854,12.21849676765843,7.562086187852205,0.005355561796325051,-10.94170736567838,-15.38770837125691,-1.080784133447827,-10.53740858275097,17.1484036368516,1526.395325441203,7.291555131484691,17.19293765498714,0.4719761202019574,7.291555131484689,7.291553841813725,0.4719759915061949,-17.19293820547173, 2095.734167,-10.78165436, 13.55483654,-10.78165436, 1505.011829, 3.979913002, 13.55483654, 3.979913002, 3150.438619,77.08074776,2479.999755,45.48951588151849,4.227419771628691,35.4270137654864,8.9676768407226,8.9676768376729,19.63880510656565,-77.97864031256445,343.4987916104266,0.7733476919139479,0.04221906902302679,-0.6325639092738289,-0.003714607167562503,-0.09954912999835847,-0.03248001661875179,0.9941296305608253,-0.02722676767470934,0.09954873290630882,0.03249451523123512,-0.9941291567590421,0.02722821951929764,-145.5968953486,-3.3166508849265,4.2690805899151e-06,4.2978520323099e-06,4.2888098473576e-07,20925655.28423045,610.5258077304276,1.55916037101452,20925655.29313678,0.1566365921649167,1.55916037101452,0.0016712297400576,8.9676768376729,-3.2876557308187e-09,5.99818489,19.6969512,19.6969512,0.999311426,-3.04146645,1.56700797,-174.276028,-3.04146645,-2.75646604,0,1,-0.523,0,-0.34276181,-0.174,0.348,0,-0.389457887,-0.973644717,-0.974536583,0,0,0,-1,99.1566876,0,343.524094,-343.524094,360,16.4759058,0.287504556,0.00992156104,-0.332840249,0,0,0,-8.96767684,-1.62062582,-0.194329765,-17.387268,0,0,0,-0,0.0299999993,0.0120404997,0.002,0,0,0,0,0,0,0,0,0,2,0.0666666667,803.664,1.46121,1.30042,29.9086,56.0293,-0.380862,2.9112,1.37944,139.583,130,130,5.13295424798414087e-06,-5.28744442508677565e-07,20925655.1325175241,12.3272623175664968
0.5000000261,12.01706348308413,-171.1679146086324,-2.795911070570203,-4.137381738788353,92.93760821211984,-8.089579083482201,12.01661983082543,-171.1682014778211,-2.800055606997405,0.2975672174,493082.8215,15.8258749697,1526.49768499,-14.25168788350462,-1.090232873764443,-6.794049109980098,15.95379649955608,0.2869995817051856,30.1351488397206,-37.57171000274301,0.1870742787154737,8.558979300992144,4.400031279087364,0.002777569858791057,-9.099436428111435,-14.25168788350462,-1.090232873764443,-6.794049109980098,13.39293611366753,1526.416214870995,8.3276961258202,13.44860506213454,0.4927653350417517,8.327696125820195,8.327694609746258,0.4927652033551462,-13.44860600574855, 2095.733777,-10.78165405, 13.55483829,-10.78165405, 1505.011802, 3.979915942, 13.55483829, 3.979915942, 3150.438246,77.0807436,2479.999622,45.48951574591312,4.2274199999754,35.42701247057064,10.499853324145,10.499853325878,146.0178040162586,-82.28847345298556,217.6895568411861,-0.6665888846439667,-0.05065965870684831,0.7436852047409163,0.005017379622813695,0.05451538711154894,-0.03936961442243245,0.9972143686701996,-0.03227396700131338,-0.05451597546621788,0.03938779392147745,-0.9972136507850637,0.03227297316471837,-154.51197947857,-3.950192699213,6.4157680318209e-06,6.4590070578481e-06,5.6103117639664e-07,20925656.81139671,763.1664204353158,2.343177128326643,20925656.8253132,0.2049007093602297,2.343177128326643,0.002089037175072,10.499853325878,3.2894177801817e-09,3.80239951,19.696941,19.696941,0.999256093,-3.05436885,2.35211772,-175.015335,-3.05436885,-0.573583058,0,1,-0.523,0,-2.54849145,-0.174,0.348,0,-0.384313696,-0.96078424,-0.962387686,0,0,0,-1,373.812855,0,217.705592,-217.705592,360,30,0.5235,0.0331292823,-2.51536216,0,0,0,-10.4998533,-2.39685271,-0.28737066,-13.7359767,0,0,0,-0,0.0299999993,0.0120404997,0.002,0,0,0,0,0,0,0,0,0,2.5,0.0833333333,952.332,1.73151,1.30049,29.9012,54.238,-0.471814,4.12625,2.06696,170.166,130,130,7.1075289606634421e-06,-4.10513484095389754e-07,20925656.5846259594,12.0166198308254248
0.6000000313,11.50368303090391,-162.8085516712929,-3.617462368835542,-6.322714338864778,72.38120789577302,-8.262768090699396,11.50206881952508,-162.8089271966845,-3.62129767922184,0.209070353,413303.3119,13.2656572748,1526.48810973,-12.44079245833808,-1.035910422019277,-4.486784543409416,19.2750760828211,0.7211428116519636,16.04039053199812,-37.25278817793958,0.1008313415167114,5.353519867238518,2.552672987466778,-3.7406234645617e-06,-6.906344808617703,-12.44079245833808,-1.035910422019277,-4.486784543409416,9.648629702904975,1526.430975390417,9.018339450805287,9.715433752281093,0.5075071309386779,9.018339450805287,9.018337948938099,0.5075070125529054,-9.715435152571393,  2095.73331,-10.78165368, 13.55484038,-10.78165368,  1505.01177, 3.979919464, 13.55484038, 3.979919464, 3150.437798,77.08073861,2479.999461,45.48951558337251,4.227420273678537,35.42701091844619,11.657785583287,11.657785581337,169.1871891634286,-66.41128510078845,195.0994140858406,-0.5508408814075009,-0.0582915580437243,0.8325466545379403,0.006518101619812602,0.1991961383110537,-0.04582735296469883,0.9782026920003256,-0.03660936445130504,-0.1991969391425173,0.04584875245441742,-0.9782016892312181,0.0366050067588736,-160.16810912352,-4.4787666900616,8.7978150944012e-06,8.8571079074782e-06,6.9816801711937e-07,20925657.96320521,915.8088603056539,3.213152368809953,20925657.98324534,0.2549860611939949,3.213152368809953,0.0025068446100864,11.657785581337,3.2894177801817e-09,3.40812714,19.6969289,19.6969289,0.999214277,-3.06240163,3.22325214,-175.475614,-3.06240163,-0.187343471,0,1,-0.187343471,0,-2.9528735,-0.174,0.348,0,-0.375670272,-0.939175679,-0.941719158,0,0,0,-1,170.783501,0,195.113785,-195.113785,360,30,0.5235,0.0570449781,-2.89582852,0,0,0,-11.6577856,-3.22690727,-0.386852686,-10.1022878,0,0,0,-0,0.0299999993,0.0120404997,0.002,0,0,0,0,0,0,0,0,0,3,0.1,1083.53,1.97005,1.30055,29.8926,52.5258,-0.576977,5.38844,2.85287,199.368,130,130,9.27343344687602477e-06,-2.91082665185125048e-07,20925657.6883629486,11.5020688195250784
0.7000000365,10.77461545348992,-156.4899106850519,-4.433661002881377,-8.385738975876791,52.891522584455,-7.97898016984976,10.77201206560854,-156.4903706448781,-4.436896294514578,0.1489058682,348799.1291,11.1954989217,1526.47610159,-10.58833966764709,-0.956933331986182,-3.50863759698125,16.99237995867454,0.7933813724114041,3.83600515387581,-36.68857000210358,-0.01436690634177859,2.799432054280609,1.72411622711924,-0.002166112594192107,-5.002271861896066,-10.58833966764709,-0.956933331986182,-3.50863759698125,5.950486496238681,1526.435437655806,9.419931451555913,6.028425409926996,0.5120299124267084,9.419931451555913,9.41993025164844,0.5120298242549614,-6.028427292373814, 2095.732769,-10.78165325,  13.5548428,-10.78165325, 1505.011733, 3.979923541,  13.5548428, 3.979923541,  3150.43728,77.08073283,2479.999275,45.48951539515895,4.227420590612529,35.42700912116685,12.444503884763,12.444503885799,173.5918764507379,-50.54964412829982,191.2929921337395,-0.4291975135271345,-0.06508451637979316,0.9008239131125227,0.00835330320147099,0.3334903192228172,-0.05192838310682284,0.9404671363313412,-0.04011502827246971,-0.3334913429461517,0.05195238607195066,-0.9404658106878705,0.04010651678480435,-161.66645242588,-4.9033298168941,1.132789788753e-05,1.1404242172943e-05,8.3800804013094e-07,20925658.74268619,1068.452285327072,4.13719348597598,20925658.76996347,0.3060586738376065,4.13719348597598,0.0029246520451008,12.444503885799,-3.3234272863583e-09,3.34169255,19.6969148,19.6969148,0.999185868,-3.0677498,4.14849626,-175.782063,-3.0677498,-0.126257039,0,1,-0.126257039,0,-3.0297498,-0.174,0.348,0,-0.363248823,-0.908122058,-0.911588919,0,0,0,-1,159.683537,0,191.307083,-191.307083,360,30,0.5235,0.0797942901,-2.94995551,0,0,0,-12.4445039,-4.07017177,-0.4879141,-6.51634139,0,0,0,-0,0.0299999993,0.0120404997,0.002,0,0,0,0,0,0,0,0,0,3.5,0.116666667,1198.72,2.17949,1.30058,29.8832,50.8928,-0.703904,6.62594,3.71929,227.188,130,130,1.15662202521053884e-05,-1.71680882064624997e-07,20925658.4473121837,10.7720120656085356
0.8000000417,9.853870725400299,-151.9109745531138,-5.207926534722011,-10.10575444677358,38.73783321852335,-7.433529541689537,9.85050586416147,-151.9115112551567,-5.210344377399907,0.116644288,308709.1667,9.90882045127,1526.45977123,-9.184624577575971,-0.8860668865485938,-3.6114096385052,10.52565155229415,0.5748094113301068,-5.400760170470381,-36.14410433962799,-0.1389780103955603,0.9214519608342971,1.548453844518466,-0.003641841360647422,-3.746441093998553,-9.184624577575971,-0.8860668865485938,-3.6114096385052,2.31031109219582,1526.427830765471,9.600682090407892,2.399384223322178,0.5045606834985801,9.60068209040789,9.600681502868035,0.5045606425651384,-2.399386582858325, 2095.732157,-10.78165277, 13.55484554,-10.78165277,  1505.01169, 3.979928144, 13.55484554, 3.979928144, 3150.436694,77.0807263,2479.999065,45.4895151825331,4.227420948654501,35.42700709077108,12.865436069667,12.865436068789,175.5521796202148,-35.14643477052644,189.9593033084535,-0.3037692981844644,-0.07101684112101897,0.9500352891264053,0.01066635702651767,0.4569791735573859,-0.05775874565674969,0.8865736695271731,-0.04267423972480516,-0.4569804181049064,0.05778460562214084,-0.886571984416275,0.04266091032721353,-158.5351654436,-5.1303580543016,1.393615104671e-05,1.4030073633415e-05,9.7746472695314e-07,20925659.15526756,1221.095560421399,5.089784094301593,20925659.19089545,0.3569912814027202,5.089784094301593,0.0033424594801152,12.865436068789,1.6362065135467e-09,3.31841529,19.6968989,19.6968989,0.999170668,-3.07156854,5.10228504,-176.000878,-3.07156854,-0.106798523,0,1,-0.106798523,0,-3.06396354,-0.174,0.348,0,-0.347433789,-0.868584472,-0.872840004,0,0,0,-1,157.609395,0,189.973296,-189.973296,360,30,0.5235,0.101434103,-2.96252944,0,0,0,-12.8654361,-4.89031644,-0.586208813,-2.9855954,0,0,0,-0,0.0299999993,0.0120404997,0.002,0,0,0,0,0,0,0,0,0,4,0.133333333,1299.35,2.36246,1.3006,29.8731,49.3389,-0.808754,7.24138,4.64951,253.635,130,130,1.39348439248902524e-05,-5.4360593552516725e-08,20925658.8658544645,9.85050586416146778
0.9000000469,8.781007009769636,-148.3639317368728,-5.919110384618947,-11.37075772347923,33.34628690607537,-6.694172735016476,8.777137109862894,-148.3645356517003,-5.920564848453979,0.1118718571,302327.719,9.70400536645,1526.43788551,-8.575209091538126,-0.8486339270307863,-4.46243539409349,1.368819889927041,0.1407131975138847,-11.03215657344788,-35.89843329846685,-0.2836043604852039,-0.5210582745621193,1.798613537264967,-0.004816924199159795,-3.286822379645762,-8.575209091538126,-0.8486339270307863,-4.46243539409349,-1.288370332192314,1526.407035058032,9.618822715962574,-1.188164058361716,0.4839792159420824,9.618822715962576,9.618823061909405,0.4839792390253758,1.188161248331377,  2095.73148,-10.78165224, 13.55484857,-10.78165224, 1505.011644, 3.979933248, 13.55484857, 3.979933248, 3150.436045,77.08071906,2479.998832,45.48951494674536,4.227421345698942,35.42700483919885,12.925791695714,12.925791697064,176.7365950037047,-20.12017823292469,189.4464972180514,-0.1763257478801948,-0.0760869120441727,0.9812930424391624,0.01356382359679204,0.5691979522119414,-0.06339264462526628,0.8185600131838364,-0.04421050352150358,-0.5691994026519042,0.0634195052444094,-0.8185579325439721,0.04419182554056621,-152.50807483291,-5.0170349042343,1.6570628635164e-05,1.6682306263729e-05,1.1131251509529e-06,20925659.20615894,1373.737431443067,6.051952366217458,20925659.25125081,0.4065374066080972,6.051952366217458,0.0037602669151296,12.925791697064,2.5164694801737e-09,3.30946513,19.6968812,19.6968812,0.999168488,-3.07451883,6.06558772,-176.169929,-3.07451883,-0.100798658,0,1,-0.100798658,0,-3.08463549,-0.174,0.348,0,-0.328898995,-0.822247488,-0.827104112,0,0,0,-1,157.170154,0,189.460452,-189.460452,360,30,0.5235,0.122018529,-2.96261696,0,0,0,-12.9257917,-5.65499717,-0.677868707,0.510292541,0,0,0,-0,0.0299999993,0.0120404997,0.002,0,0,0,0,0,0,0,0,0,4.5,0.15,1386.81,2.52148,1.30061,29.8626,47.8633,-0.995873,7.97552,5.6281,278.725,129.999,129.999,1.63434674273104257e-05,5.86121214556132299e-08,20925658.9471866377,8.77713710986289364
